record_id,entry_type,event_description,type,country,target_country,target_direction,compliance,date_announced,link,ISO_A3,ISO_A2,severity_index,lat,lng
4062318,New Entry,All UAE citizens evacuated from Iran on March 2nd are to be quarantined and monitored.,Quarantine,United Arab Emirates,United Arab Emirates,Inbound,Mandatory with Legal Penalties (Jail Time),02/03/2020,http://wam.ae/en/details/1395302828173#,ARE,AE,-0.765063944,23.424076,53.847818
5187042,New Entry,"The UAE closed all schools and universities, starting on March 8, 2020, for a period of 4 weeks. During these 4 weeks, the schools will undergo a deep clean. The first 2 weeks are meant to be spring break, while the remaining two weeks will continue with online classes. This also restricts all trips, and extra-curricular activities.",Closure of Schools,United Arab Emirates,Domestic,,Mandatory with Legal Penalties (Jail Time),04/03/2020,https://www.timeoutdubai.com/kids/435627-uae-schools-to-close-from-sunday-march-8,ARE,AE,-0.439828987,23.424076,53.847818
9880747,New Entry,"On March 4, 2020, ""The United Arab Emirates has coordinated the evacuation of Arab nationals from Wuhan City in China""",Other Policy Not Listed Above,United Arab Emirates,,,Voluntary/Recommended but No Penalties,04/03/2020,http://wam.ae/en/details/1395302828536,ARE,AE,-0.439828987,23.424076,53.847818
1687119,New Entry,"On March 4th, in order to care for the 215 individuals evacuated from Wuhan, the UAE set up a ""purpose-built medical facility in the Emirates Humanitarian City which is equipped to provide preventive medical care and monitoring."" Here the individuals' health will be monitored and they will remain in quarantine.",Quarantine,United Arab Emirates,United Arab Emirates,Inbound,Mandatory with Legal Penalties (Jail Time),04/03/2020,http://wam.ae/en/details/1395302828536,ARE,AE,-0.439828987,23.424076,53.847818
2169736,New Entry,"On the 5th of March 2020, the UAE urged citizens and residents to not travel abroad. They warned that upon return, individuals may have to face preventative measures such as temperature checks at airports and a 14-day home quarantine.",External Border Restrictions,United Arab Emirates,All,Outbound,Voluntary/Recommended but No Penalties,05/03/2020,http://wam.ae/en/details/1395302828771,ARE,AE,-0.336984294,23.424076,53.847818
8742670,New Entry,"""The UAE has announced the suspension of all inbound and outbound flights with Italy, with the exception of flights to and from Rome, effective on 13 March. All passengers arriving from Rome International Airport are required to undergo thorough preventive medical tests at UAE airports to ensure that they are free from the virus.""",External Border Restrictions,United Arab Emirates,Italy,Inbound/Outbound,Mandatory (Unspecified/Implied),13/03/2020,https://wam.ae/en/details/1395302830505,ARE,AE,-0.076674617,23.424076,53.847818
2003992,New Entry,"""The UAE has announced the suspension of all inbound and outbound flights with Italy, with the exception of flights to and from Rome, effective on 13 March. All passengers arriving from Rome International Airport are required to undergo thorough preventive medical tests at UAE airports to ensure that they are free from the virus.""",Health Monitoring,United Arab Emirates,Italy,Inbound,Mandatory with Legal Penalties (Jail Time),13/03/2020,https://wam.ae/en/details/1395302830505,ARE,AE,-0.076674617,23.424076,53.847818
5847158,New Entry,"The UAE closed all areas of worships (mosques, churches, temples, etc) for a period of 4 weeks, starting on Monday, 16 March, 9pm.",Restrictions of Mass Gatherings,United Arab Emirates,,,Mandatory with Legal Penalties (Jail Time),16/03/2020,https://gulfnews.com/uae/coronavirus-prayers-at-mosques-and-all-other-places-of-worship-in-uae-suspended-1.1584375441713,ARE,AE,0.119572722,23.424076,53.847818
236664,New Entry,"The UAE suspended the entry of all valid residence visa holders, who are currently out of the country, from 19 March, for a renewable period of two weeks.",External Border Restrictions,United Arab Emirates,All,Inbound,Mandatory (Unspecified/Implied),18/03/2020,https://wam.ae/en/details/1395302831731,ARE,AE,0.194687776,23.424076,53.847818
7333614,New Entry,"On March 18, "" The UAE Ministry of Foreign Affairs and International Cooperation issued a statement notifying Emirati nationals not to travel abroad, effective immediately, and until further notice""",External Border Restrictions,United Arab Emirates,United Arab Emirates,Outbound,Mandatory with Legal Penalties (Jail Time),18/03/2020,https://wam.ae/en/details/1395302831593,ARE,AE,0.194687776,23.424076,53.847818
